FIPS_Code,State,Area_Name,Attribute,Value
1003,AL,"Baldwin County, AL",Rural_Urban_Continuum_Code_2023,3
1003,AL,"Baldwin County, AL",Urban_Influence_Code_2013,2
1003,AL,"Baldwin County, AL",Metro_2023,1
1003,AL,"Baldwin County, AL",Civilian_labor_force_2000,69979
1003,AL,"Baldwin County, AL",Employed_2000,67370
1003,AL,"Baldwin County, AL",Unemployed_2000,2609
1003,AL,"Baldwin County, AL",Unemployment_rate_2000,3.7
1003,AL,"Baldwin County, AL",Civilian_labor_force_2001,69569
1003,AL,"Baldwin County, AL",Employed_2001,66545
1003,AL,"Baldwin County, AL",Unemployed_2001,3024
1003,AL,"Baldwin County, AL",Unemployment_rate_2001,4.3
1003,AL,"Baldwin County, AL",Civilian_labor_force_2002,69379
1003,AL,"Baldwin County, AL",Employed_2002,65881
1003,AL,"Baldwin County, AL",Unemployed_2002,3498
1003,AL,"Baldwin County, AL",Unemployment_rate_2002,5
1003,AL,"Baldwin County, AL",Civilian_labor_force_2003,72598
1003,AL,"Baldwin County, AL",Employed_2003,69010
1003,AL,"Baldwin County, AL",Unemployed_2003,3588
1003,AL,"Baldwin County, AL",Unemployment_rate_2003,4.9
1003,AL,"Baldwin County, AL",Civilian_labor_force_2004,74843
1003,AL,"Baldwin County, AL",Employed_2004,71061
1003,AL,"Baldwin County, AL",Unemployed_2004,3782
1003,AL,"Baldwin County, AL",Unemployment_rate_2004,5.1
1003,AL,"Baldwin County, AL",Civilian_labor_force_2005,76608
1003,AL,"Baldwin County, AL",Employed_2005,73581
1003,AL,"Baldwin County, AL",Unemployed_2005,3027
1003,AL,"Baldwin County, AL",Unemployment_rate_2005,4
1003,AL,"Baldwin County, AL",Civilian_labor_force_2006,79806
1003,AL,"Baldwin County, AL",Employed_2006,77263
1003,AL,"Baldwin County, AL",Unemployed_2006,2543
1003,AL,"Baldwin County, AL",Unemployment_rate_2006,3.2
1003,AL,"Baldwin County, AL",Civilian_labor_force_2007,82829
1003,AL,"Baldwin County, AL",Employed_2007,80213
1003,AL,"Baldwin County, AL",Unemployed_2007,2616
1003,AL,"Baldwin County, AL",Unemployment_rate_2007,3.2
1003,AL,"Baldwin County, AL",Civilian_labor_force_2008,83205
